country,countryIso3,date_start,date_end,SI_lock,R_min,R_min_lowHPD,R_min_highHPD,date_R_min,date_pre_end,R_pre_end,R_pre_end_lowHPD,R_pre_end_highHPD
Austria,AUT,2020-03-16,2020-04-13,81.48,0.55,0.48,0.62,2020-04-11,2020-04-06,0.59,0.53,0.65
Belgium,BEL,2020-03-20,2020-05-04,81.48,0.64,0.61,0.68,2020-04-20,2020-04-27,0.88,0.83,0.94
Denmark,DNK,2020-03-18,2020-04-14,72.22,0.73,0.67,0.79,2020-04-06,2020-04-07,0.73,0.67,0.79
Finland,FIN,2020-03-27,2020-04-13,67.59,0.89,0.8,0.98,2020-04-07,2020-04-06,0.89,0.8,0.99
France,FRA,2020-03-17,2020-05-10,87.96,0.68,0.66,0.7,2020-04-14,2020-05-03,0.85,0.82,0.89
Germany,DEU,2020-03-22,2020-05-02,76.85,0.69,0.67,0.72,2020-04-22,2020-04-25,0.74,0.72,0.77
Ireland,IRL,2020-04-06,2020-05-17,90.74,0.59,0.51,0.68,2020-05-13,2020-05-10,0.65,0.58,0.73
Italy,ITA,2020-03-20,2020-05-03,93.52,0.74,0.71,0.76,2020-04-26,2020-04-26,0.74,0.71,0.76
Netherlands,NLD,2020-03-31,2020-05-10,79.63,0.65,0.61,0.68,2020-04-20,2020-05-03,0.8,0.74,0.87
Norway,NOR,2020-03-24,2020-04-19,79.63,0.63,0.56,0.7,2020-04-02,2020-04-12,0.88,0.76,1
Poland,POL,2020-04-09,2020-05-24,83.33,0.91,0.86,0.97,2020-04-20,2020-05-17,0.99,0.93,1.05
Portugal,PRT,2020-03-19,2020-05-03,82.41,0.68,0.63,0.73,2020-04-22,2020-04-26,0.85,0.79,0.91
Romania,ROM,2020-03-31,2020-05-10,87.04,0.77,0.71,0.84,2020-05-08,2020-05-03,0.85,0.79,0.91
Russian Federation,RUS,2020-03-30,2020-05-11,85.19,0.89,0.88,0.9,2020-05-10,2020-05-04,1,0.99,1.01
Slovenia,SVN,2020-03-30,2020-04-19,89.91,0.67,0.43,0.95,2020-04-17,2020-04-12,0.71,0.5,0.96
Spain,ESP,2020-03-30,2020-05-03,85.19,0.65,0.63,0.68,2020-04-20,2020-04-26,0.67,0.64,0.7
Sweden,SWE,2020-04-04,2020-06-12,64.81,0.93,0.89,0.98,2020-04-23,2020-06-05,1.11,1.07,1.15
Switzerland,CHE,2020-03-17,2020-04-26,73.15,0.62,0.58,0.67,2020-04-06,2020-04-19,0.73,0.65,0.8
Turkey,TUR,2020-03-28,2020-05-30,75.93,0.73,0.71,0.75,2020-04-20,2020-05-23,0.94,0.9,0.97
United Kingdom of Great Britain and Northern Ireland,GBR,2020-03-24,2020-05-10,79.63,0.83,0.81,0.84,2020-04-29,2020-05-03,0.85,0.84,0.87
