date,value,variable,data_type
2020-02-14,8.173669467787112,Mean - Gamma fit,Confirmed cases
2020-02-15,8.173669467787112,Mean - Gamma fit,Confirmed cases
2020-02-16,8.173669467787112,Mean - Gamma fit,Confirmed cases
2020-02-17,8.173669467787112,Mean - Gamma fit,Confirmed cases
2020-02-18,8.173669467787112,Mean - Gamma fit,Confirmed cases
2020-02-19,8.173669467787112,Mean - Gamma fit,Confirmed cases
2020-02-20,8.173669467787112,Mean - Gamma fit,Confirmed cases
2020-02-21,8.173669467787112,Mean - Gamma fit,Confirmed cases
2020-02-22,8.173669467787112,Mean - Gamma fit,Confirmed cases
2020-02-23,8.173669467787112,Mean - Gamma fit,Confirmed cases
2020-02-24,8.173669467787112,Mean - Gamma fit,Confirmed cases
2020-02-25,8.173669467787112,Mean - Gamma fit,Confirmed cases
2020-02-26,8.173669467787112,Mean - Gamma fit,Confirmed cases
2020-02-27,8.173669467787112,Mean - Gamma fit,Confirmed cases
2020-02-28,8.173669467787112,Mean - Gamma fit,Confirmed cases
2020-02-29,8.173669467787112,Mean - Gamma fit,Confirmed cases
2020-03-01,8.173669467787112,Mean - Gamma fit,Confirmed cases
2020-03-02,8.173669467787112,Mean - Gamma fit,Confirmed cases
2020-03-03,8.173669467787112,Mean - Gamma fit,Confirmed cases
2020-03-04,8.173669467787112,Mean - Gamma fit,Confirmed cases
2020-03-05,7.879656160458451,Mean - Gamma fit,Confirmed cases
2020-03-06,7.24931506849315,Mean - Gamma fit,Confirmed cases
2020-03-07,6.709976798143851,Mean - Gamma fit,Confirmed cases
2020-03-08,6.371868978805396,Mean - Gamma fit,Confirmed cases
2020-03-09,5.912710566615621,Mean - Gamma fit,Confirmed cases
2020-03-10,5.473300970873787,Mean - Gamma fit,Confirmed cases
2020-03-11,5.1675075681130185,Mean - Gamma fit,Confirmed cases
2020-03-12,4.911359724612737,Mean - Gamma fit,Confirmed cases
2020-03-13,4.817251461988305,Mean - Gamma fit,Confirmed cases
2020-03-14,4.538263665594856,Mean - Gamma fit,Confirmed cases
2020-03-15,4.425980105324752,Mean - Gamma fit,Confirmed cases
2020-03-16,4.215070643642072,Mean - Gamma fit,Confirmed cases
2020-03-17,4.000508130081301,Mean - Gamma fit,Confirmed cases
2020-03-18,3.867494824016563,Mean - Gamma fit,Confirmed cases
2020-03-19,3.8034744842562427,Mean - Gamma fit,Confirmed cases
2020-03-20,3.8998302207130733,Mean - Gamma fit,Confirmed cases
2020-03-21,3.8425637834474173,Mean - Gamma fit,Confirmed cases
2020-03-22,3.8806497175141246,Mean - Gamma fit,Confirmed cases
2020-03-23,3.847589424572318,Mean - Gamma fit,Confirmed cases
2020-03-24,4.022243713733076,Mean - Gamma fit,Confirmed cases
2020-03-25,4.284434490481523,Mean - Gamma fit,Confirmed cases
2020-03-26,4.542706964520368,Mean - Gamma fit,Confirmed cases
2020-03-27,4.490196078431373,Mean - Gamma fit,Confirmed cases
2020-03-28,4.059113300492611,Mean - Gamma fit,Confirmed cases
2020-03-29,3.8584729981378025,Mean - Gamma fit,Confirmed cases
2020-03-30,3.628352490421455,Mean - Gamma fit,Confirmed cases
2020-03-31,3.4923413566739594,Mean - Gamma fit,Confirmed cases
2020-04-01,3.3860045146726865,Mean - Gamma fit,Confirmed cases
2020-04-02,3.2675,Mean - Gamma fit,Confirmed cases
2020-04-03,3.096446700507614,Mean - Gamma fit,Confirmed cases
2020-04-04,3.2605042016806722,Mean - Gamma fit,Confirmed cases
2020-04-05,3.37910447761194,Mean - Gamma fit,Confirmed cases
2020-04-06,3.333333333333333,Mean - Gamma fit,Confirmed cases
2020-04-07,3.4098360655737707,Mean - Gamma fit,Confirmed cases
2020-04-08,3.4160583941605838,Mean - Gamma fit,Confirmed cases
2020-04-09,3.352472089314194,Mean - Gamma fit,Confirmed cases
2020-04-10,3.2760330578512393,Mean - Gamma fit,Confirmed cases
2020-04-11,3.333333333333333,Mean - Gamma fit,Confirmed cases
2020-04-12,3.3452830188679243,Mean - Gamma fit,Confirmed cases
2020-04-13,3.3531669865642995,Mean - Gamma fit,Confirmed cases
2020-04-14,3.4016736401673633,Mean - Gamma fit,Confirmed cases
2020-04-15,3.4889867841409687,Mean - Gamma fit,Confirmed cases
2020-04-16,3.436018957345971,Mean - Gamma fit,Confirmed cases
2020-04-17,3.4139650872817944,Mean - Gamma fit,Confirmed cases
2020-04-18,3.357526881720431,Mean - Gamma fit,Confirmed cases
2020-04-19,3.202312138728324,Mean - Gamma fit,Confirmed cases
2020-04-20,3.1437125748502996,Mean - Gamma fit,Confirmed cases
2020-04-21,3.147058823529412,Mean - Gamma fit,Confirmed cases
2020-04-22,3.321626617375231,Mean - Gamma fit,Confirmed cases
2020-04-23,3.2998027613412226,Mean - Gamma fit,Confirmed cases
2020-04-24,3.2782426778242666,Mean - Gamma fit,Confirmed cases
2020-04-25,3.352017937219731,Mean - Gamma fit,Confirmed cases
2020-04-26,3.2488151658767777,Mean - Gamma fit,Confirmed cases
2020-04-27,3.176616915422885,Mean - Gamma fit,Confirmed cases
2020-04-28,3.203252032520324,Mean - Gamma fit,Confirmed cases
2020-04-29,3.1876832844574787,Mean - Gamma fit,Confirmed cases
2020-04-30,3.245222929936306,Mean - Gamma fit,Confirmed cases
2020-05-01,3.4429657794676807,Mean - Gamma fit,Confirmed cases
2020-05-02,3.45010183299389,Mean - Gamma fit,Confirmed cases
2020-05-03,3.356371490280779,Mean - Gamma fit,Confirmed cases
2020-05-04,3.366071428571429,Mean - Gamma fit,Confirmed cases
2020-05-05,3.436144578313254,Mean - Gamma fit,Confirmed cases
2020-05-06,3.4472361809045227,Mean - Gamma fit,Confirmed cases
2020-05-07,3.4854881266490763,Mean - Gamma fit,Confirmed cases
2020-05-08,3.4565217391304346,Mean - Gamma fit,Confirmed cases
2020-05-09,3.3581661891117482,Mean - Gamma fit,Confirmed cases
2020-05-10,3.3197674418604644,Mean - Gamma fit,Confirmed cases
2020-05-11,3.3723723723723724,Mean - Gamma fit,Confirmed cases
2020-05-12,3.3186119873817033,Mean - Gamma fit,Confirmed cases
2020-05-13,3.326666666666667,Mean - Gamma fit,Confirmed cases
2020-05-14,3.3730337078651687,Mean - Gamma fit,Confirmed cases
2020-05-15,3.356132075471698,Mean - Gamma fit,Confirmed cases
2020-05-16,3.26302729528536,Mean - Gamma fit,Confirmed cases
2020-05-17,3.2061068702290063,Mean - Gamma fit,Confirmed cases
2020-05-18,3.2566844919786098,Mean - Gamma fit,Confirmed cases
2020-05-19,3.2140845070422532,Mean - Gamma fit,Confirmed cases
2020-05-20,3.1887905604719764,Mean - Gamma fit,Confirmed cases
2020-05-21,3.1284403669724776,Mean - Gamma fit,Confirmed cases
2020-05-22,3.1682539682539694,Mean - Gamma fit,Confirmed cases
2020-05-23,3.185430463576159,Mean - Gamma fit,Confirmed cases
2020-05-24,3.216666666666667,Mean - Gamma fit,Confirmed cases
2020-05-25,3.3056478405315612,Mean - Gamma fit,Confirmed cases
2020-05-26,3.1679012345679016,Mean - Gamma fit,Confirmed cases
2020-05-27,3.170157068062826,Mean - Gamma fit,Confirmed cases
2020-05-28,3.1900826446280988,Mean - Gamma fit,Confirmed cases
2020-05-29,3.2386363636363633,Mean - Gamma fit,Confirmed cases
2020-05-30,3.2536873156342185,Mean - Gamma fit,Confirmed cases
2020-05-31,3.305135951661632,Mean - Gamma fit,Confirmed cases
2020-06-01,3.407854984894259,Mean - Gamma fit,Confirmed cases
2020-06-02,3.3950617283950617,Mean - Gamma fit,Confirmed cases
2020-06-03,3.417445482866044,Mean - Gamma fit,Confirmed cases
2020-06-04,3.4766355140186915,Mean - Gamma fit,Confirmed cases
2020-06-05,3.5352564102564106,Mean - Gamma fit,Confirmed cases
2020-06-06,3.6730769230769234,Mean - Gamma fit,Confirmed cases
2020-06-07,3.5993485342019556,Mean - Gamma fit,Confirmed cases
2020-06-08,3.578947368421052,Mean - Gamma fit,Confirmed cases
2020-06-09,3.6537216828478964,Mean - Gamma fit,Confirmed cases
2020-06-10,3.811145510835913,Mean - Gamma fit,Confirmed cases
2020-06-11,3.802431610942249,Mean - Gamma fit,Confirmed cases
2020-06-12,3.817365269461078,Mean - Gamma fit,Confirmed cases
2020-06-13,3.6517857142857144,Mean - Gamma fit,Confirmed cases
2020-06-14,3.607784431137725,Mean - Gamma fit,Confirmed cases
2020-06-15,3.6982758620689653,Mean - Gamma fit,Confirmed cases
2020-06-16,3.7372881355932215,Mean - Gamma fit,Confirmed cases
2020-06-17,3.729729729729729,Mean - Gamma fit,Confirmed cases
2020-06-18,3.7331536388140174,Mean - Gamma fit,Confirmed cases
2020-06-19,3.944262295081967,Mean - Gamma fit,Confirmed cases
2020-06-20,4.027439024390243,Mean - Gamma fit,Confirmed cases
2020-06-21,4.014619883040936,Mean - Gamma fit,Confirmed cases
2020-06-22,4.387195121951219,Mean - Gamma fit,Confirmed cases
2020-06-23,4.245454545454545,Mean - Gamma fit,Confirmed cases
2020-06-24,4.230769230769231,Mean - Gamma fit,Confirmed cases
2020-06-25,3.946031746031747,Mean - Gamma fit,Confirmed cases
2020-06-26,4.046783625730995,Mean - Gamma fit,Confirmed cases
2020-06-27,3.9625668449197873,Mean - Gamma fit,Confirmed cases
2020-06-28,3.8353808353808354,Mean - Gamma fit,Confirmed cases
2020-06-29,3.4000000000000004,Mean - Gamma fit,Confirmed cases
2020-06-30,3.246056782334385,Mean - Gamma fit,Confirmed cases
2020-07-01,3.285276073619632,Mean - Gamma fit,Confirmed cases
2020-07-02,3.3453453453453452,Mean - Gamma fit,Confirmed cases
2020-07-03,3.3727810650887573,Mean - Gamma fit,Confirmed cases
2020-07-04,3.3588235294117643,Mean - Gamma fit,Confirmed cases
2020-07-05,3.3401759530791786,Mean - Gamma fit,Confirmed cases
2020-07-06,3.5988700564971747,Mean - Gamma fit,Confirmed cases
2020-07-07,3.7729885057471266,Mean - Gamma fit,Confirmed cases
2020-07-08,3.6345609065155804,Mean - Gamma fit,Confirmed cases
2020-07-09,3.598853868194843,Mean - Gamma fit,Confirmed cases
2020-07-10,3.689008042895442,Mean - Gamma fit,Confirmed cases
2020-07-11,3.6657681940700817,Mean - Gamma fit,Confirmed cases
2020-07-12,3.5767195767195767,Mean - Gamma fit,Confirmed cases
2020-07-13,3.650990099009901,Mean - Gamma fit,Confirmed cases
2020-07-14,3.492424242424242,Mean - Gamma fit,Confirmed cases
2020-07-15,3.5921375921375933,Mean - Gamma fit,Confirmed cases
2020-07-16,3.7220843672456576,Mean - Gamma fit,Confirmed cases
2020-07-17,3.8599033816425123,Mean - Gamma fit,Confirmed cases
2020-07-18,3.8373205741626792,Mean - Gamma fit,Confirmed cases
2020-07-19,3.7798165137614683,Mean - Gamma fit,Confirmed cases
2020-07-20,3.817204301075268,Mean - Gamma fit,Confirmed cases
2020-07-21,3.7103004291845494,Mean - Gamma fit,Confirmed cases
2020-07-22,3.738522954091817,Mean - Gamma fit,Confirmed cases
2020-07-23,3.7258979206049148,Mean - Gamma fit,Confirmed cases
2020-07-24,3.694642857142858,Mean - Gamma fit,Confirmed cases
2020-07-25,3.585365853658536,Mean - Gamma fit,Confirmed cases
2020-07-26,3.4217687074829932,Mean - Gamma fit,Confirmed cases
2020-07-27,3.3486529318541987,Mean - Gamma fit,Confirmed cases
2020-07-28,3.248097412480975,Mean - Gamma fit,Confirmed cases
