date,median_R_mean,median_R_highHPD,median_R_lowHPD,replicate,Re,infections,observations,in_CI,above_1,R1,init,t3,weekly,gaussian,exp_name
2020-02-08,4.280223913521279,4.795412036251477,3.765035790791082,1,3.5,169,10,FALSE,TRUE,3.5,100,21,0.75,0.2,3.5_100_21
2020-02-09,4.100164709644968,4.594259513393997,3.60606990589594,1,3.5,229,14,FALSE,TRUE,3.5,100,21,0.75,0.2,3.5_100_21
2020-02-10,3.9124855979079793,4.339683494576222,3.485287701239737,1,3.5,310,22,TRUE,TRUE,3.5,100,21,0.75,0.2,3.5_100_21
2020-02-11,3.718658558130763,4.07452495710596,3.362792159155566,1,3.5,419,41,TRUE,TRUE,3.5,100,21,0.75,0.2,3.5_100_21
2020-02-12,3.500964120541394,3.80168133309928,3.200246907983508,1,3.5,567,43,TRUE,TRUE,3.5,100,21,0.75,0.2,3.5_100_21
2020-02-13,3.251406560428442,3.5058952258024623,2.996917895054422,1,3.5,767,44,TRUE,TRUE,3.5,100,21,0.75,0.2,3.5_100_21
2020-02-14,2.990977766266155,3.216123407774572,2.765832124757738,1,3.5,1038,74,FALSE,TRUE,3.5,100,21,0.75,0.2,3.5_100_21
2020-02-15,2.7496292609124127,2.9726821687792264,2.526576353045599,1,3.5,1405,90,FALSE,TRUE,3.5,100,21,0.75,0.2,3.5_100_21
2020-02-16,2.52281915755262,2.7474216085990415,2.2982167065061985,1,3.5,1901,103,FALSE,TRUE,3.5,100,21,0.75,0.2,3.5_100_21
2020-02-17,2.296798441265274,2.508404627730937,2.085192254799611,1,3.5,2572,255,FALSE,TRUE,3.5,100,21,0.75,0.2,3.5_100_21
2020-02-18,2.0771578887023145,2.270346068508965,1.8839697088956642,1,3.5,3480,316,FALSE,TRUE,3.5,100,21,0.75,0.2,3.5_100_21
2020-02-19,1.8765722859025984,2.0559248120466247,1.6972197597585719,1,3.5,4709,284,FALSE,TRUE,3.5,100,21,0.75,0.2,3.5_100_21
2020-02-20,1.6986021720734041,1.8650323183311739,1.5321720258156344,1,3.5,6372,795,FALSE,TRUE,3.5,100,21,0.75,0.2,3.5_100_21
2020-02-21,1.536349250651716,1.6869808928132728,1.3857176084901592,1,3.5,8622,905,FALSE,TRUE,3.5,100,21,0.75,0.2,3.5_100_21
2020-02-22,1.3854187497434198,1.5218431273674269,1.2489943721194128,1,2,6667,608,FALSE,TRUE,3.5,100,21,0.75,0.2,3.5_100_21
2020-02-23,1.250720961837155,1.3776084050704216,1.1238335186038886,1,0.5,2213,1029,FALSE,TRUE,3.5,100,21,0.75,0.2,3.5_100_21
2020-02-24,1.1350407852148083,1.2529567810991165,1.0171247893305002,1,0.5,2640,1681,FALSE,TRUE,3.5,100,21,0.75,0.2,3.5_100_21
2020-02-25,1.0351688516054172,1.142787625869218,0.9275500773416163,1,0.5,2675,2679,FALSE,TRUE,3.5,100,21,0.75,0.2,3.5_100_21
2020-02-26,0.9457968988365393,1.0453035981844854,0.8462901994885932,1,0.5,2435,1871,FALSE,FALSE,3.5,100,21,0.75,0.2,3.5_100_21
2020-02-27,0.8650291121063282,0.9609213791553931,0.7691368450572632,1,0.5,2133,3022,FALSE,FALSE,3.5,100,21,0.75,0.2,3.5_100_21
2020-02-28,0.7946718524696129,0.8885328904215649,0.7008108145176609,1,0.5,1856,3917,FALSE,FALSE,3.5,100,21,0.75,0.2,3.5_100_21
2020-02-29,0.7350665917685063,0.8251738059613122,0.6449593775757004,1,0.5,1619,2649,FALSE,FALSE,3.5,100,21,0.75,0.2,3.5_100_21
