date,median_R_mean,median_R_highHPD,median_R_lowHPD,replicate,Re,infections,observations,in_CI,above_1,R1,init,t3,weekly,gaussian,exp_name
2020-02-10,3.3014602762806113,4.007692743481732,2.662839455116384,1,3,22,2,TRUE,TRUE,3,10,26,0.75,0.2,3_10_26
2020-02-11,3.2576628030468493,3.8625031518621427,2.703683880333899,1,3,29,5,TRUE,TRUE,3,10,26,0.75,0.2,3_10_26
2020-02-12,3.1800046297281885,3.6955094299445506,2.7027340986954735,1,3,37,1,TRUE,TRUE,3,10,26,0.75,0.2,3_10_26
2020-02-13,3.0817814711395286,3.5205912968394157,2.671805951415541,1,3,48,10,TRUE,TRUE,3,10,26,0.75,0.2,3_10_26
2020-02-14,2.965549038866044,3.3392352891127333,2.613751452649206,1,3,63,6,TRUE,TRUE,3,10,26,0.75,0.2,3_10_26
2020-02-15,2.838451835264209,3.1573712334544153,2.5362914043453233,1,3,81,11,TRUE,TRUE,3,10,26,0.75,0.2,3_10_26
2020-02-16,2.7088549160071125,2.9821457505433093,2.448526460749903,1,3,105,11,FALSE,TRUE,3,10,26,0.75,0.2,3_10_26
2020-02-17,2.564155261213928,2.8067030888359024,2.321607433591953,1,3,137,17,FALSE,TRUE,3,10,26,0.75,0.2,3_10_26
2020-02-18,2.396468261869367,2.6195320166498335,2.1734045070889008,1,3,177,21,FALSE,TRUE,3,10,26,0.75,0.2,3_10_26
2020-02-19,2.2197988155260253,2.426566576364876,2.0130310546871746,1,3,230,29,FALSE,TRUE,3,10,26,0.75,0.2,3_10_26
2020-02-20,2.0503791586254696,2.248503781077618,1.8522545361733211,1,3,299,21,FALSE,TRUE,3,10,26,0.75,0.2,3_10_26
2020-02-21,1.8941231927672377,2.0804709995314457,1.7077753860030298,1,3,387,26,FALSE,TRUE,3,10,26,0.75,0.2,3_10_26
2020-02-22,1.7497627272547174,1.922457804948034,1.5770676495614007,1,2.642857142857143,443,43,FALSE,TRUE,3,10,26,0.75,0.2,3_10_26
2020-02-23,1.6157237223005867,1.7774398766753883,1.4540075679257851,1,2.2857142857142856,495,60,FALSE,TRUE,3,10,26,0.75,0.2,3_10_26
2020-02-24,1.4914933728956512,1.641523543143545,1.3414632026477573,1,1.9285714285714286,525,74,FALSE,TRUE,3,10,26,0.75,0.2,3_10_26
2020-02-25,1.3749302945809343,1.511584714792027,1.2382758743698417,1,1.5714285714285714,519,136,FALSE,TRUE,3,10,26,0.75,0.2,3_10_26
2020-02-26,1.265810150514523,1.391097957264353,1.140522343764693,1,1.2142857142857142,467,161,TRUE,TRUE,3,10,26,0.75,0.2,3_10_26
2020-02-27,1.1650942639499111,1.2813993061503919,1.0487892217494303,1,0.8571428571428572,367,229,FALSE,TRUE,3,10,26,0.75,0.2,3_10_26
2020-02-28,1.0718123669648674,1.1783479335047795,0.9652768004249552,1,0.5,226,208,FALSE,TRUE,3,10,26,0.75,0.2,3_10_26
2020-02-29,0.9840203642267721,1.0798039876131664,0.8882367408403777,1,0.5,225,116,FALSE,FALSE,3,10,26,0.75,0.2,3_10_26
2020-03-01,0.9029628154640436,0.9906853887917012,0.8152402421363859,1,0.5,209,238,FALSE,FALSE,3,10,26,0.75,0.2,3_10_26
2020-03-02,0.8311156706967587,0.9147570633699855,0.747474278023532,1,0.5,185,346,FALSE,FALSE,3,10,26,0.75,0.2,3_10_26
2020-03-03,0.768415797746145,0.850029455115344,0.686802140376946,1,0.5,162,419,FALSE,FALSE,3,10,26,0.75,0.2,3_10_26
2020-03-04,0.7131215737265633,0.793345009525121,0.6328981379280055,1,0.5,141,384,FALSE,FALSE,3,10,26,0.75,0.2,3_10_26
2020-03-05,0.6637897094811029,0.7435165911935565,0.5840628277686494,1,0.5,124,276,FALSE,FALSE,3,10,26,0.75,0.2,3_10_26
2020-03-06,0.6199164840588524,0.6990520929754728,0.5407808751422319,1,0.5,108,317,FALSE,FALSE,3,10,26,0.75,0.2,3_10_26
2020-03-07,0.5799978143900737,0.6576661952392922,0.5023294335408552,1,0.5,95,270,FALSE,FALSE,3,10,26,0.75,0.2,3_10_26
2020-03-08,0.5428848605358977,0.6196308401204181,0.46613888095137723,1,0.5,83,283,TRUE,FALSE,3,10,26,0.75,0.2,3_10_26
2020-03-09,0.5112334876691024,0.5881686921550685,0.4342982831831362,1,0.5,73,449,TRUE,FALSE,3,10,26,0.75,0.2,3_10_26
2020-03-10,0.4881231291733813,0.5654595819531828,0.4107866763935798,1,0.5,64,388,TRUE,FALSE,3,10,26,0.75,0.2,3_10_26
2020-03-11,0.4733095287788744,0.5520606130086229,0.3945584445491259,1,0.5,56,213,TRUE,FALSE,3,10,26,0.75,0.2,3_10_26
