Re,infections,observations,date,replicate
2.5,100,0,2020-02-02,1
2.5,1,0,2020-02-03,1
2.5,31,0,2020-02-04,1
2.5,61,1,2020-02-05,1
2.5,61,6,2020-02-06,1
2.5,72,5,2020-02-07,1
2.5,94,7,2020-02-08,1
2.5,135,9,2020-02-09,1
2.5,165,10,2020-02-10,1
2.5,194,69,2020-02-11,1
2.5,248,35,2020-02-12,1
2.5,295,68,2020-02-13,1
2.5,358,33,2020-02-14,1
2.5,485,60,2020-02-15,1
2.5,557,55,2020-02-16,1
2.5,647,73,2020-02-17,1
2.5,866,168,2020-02-18,1
2.5,1103,168,2020-02-19,1
2.5,1288,225,2020-02-20,1
2.5,1594,270,2020-02-21,1
2.435483870967742,1984,416,2020-02-22,1
2.370967741935484,2414,340,2020-02-23,1
2.306451612903226,2765,195,2020-02-24,1
2.241935483870968,3343,681,2020-02-25,1
2.1774193548387095,3943,868,2020-02-26,1
2.1129032258064515,4541,1583,2020-02-27,1
2.0483870967741935,5476,1480,2020-02-28,1
1.9838709677419355,6050,1950,2020-02-29,1
1.9193548387096775,6878,1115,2020-03-01,1
1.8548387096774195,7866,548,2020-03-02,1
1.7903225806451613,8849,2693,2020-03-03,1
1.7258064516129032,9683,2931,2020-03-04,1
1.6612903225806452,10585,4151,2020-03-05,1
1.596774193548387,11464,3667,2020-03-06,1
1.532258064516129,12645,5268,2020-03-07,1
1.467741935483871,13252,2814,2020-03-08,1
1.403225806451613,14033,2229,2020-03-09,1
1.338709677419355,14426,9345,2020-03-10,1
1.2741935483870968,15065,8022,2020-03-11,1
1.2096774193548387,15301,15578,2020-03-12,1
1.1451612903225807,15071,10999,2020-03-13,1
1.0806451612903225,14973,10943,2020-03-14,1
1.0161290322580645,14587,4856,2020-03-15,1
0.9516129032258065,13921,6104,2020-03-16,1
0.8870967741935485,13222,17613,2020-03-17,1
0.8225806451612905,12052,14642,2020-03-18,1
0.7580645161290323,10900,16195,2020-03-19,1
0.6935483870967742,9706,17006,2020-03-20,1
0.6290322580645162,8251,11507,2020-03-21,1
0.564516129032258,7075,11563,2020-03-22,1
0.5,5724,5347,2020-03-23,1
0.5,4976,12297,2020-03-24,1
0.5,4506,20097,2020-03-25,1
0.5,4054,14482,2020-03-26,1
0.5,3512,10987,2020-03-27,1
0.5,3023,10692,2020-03-28,1
0.5,2723,6208,2020-03-29,1
0.5,2354,5778,2020-03-30,1
0.5,2065,16470,2020-03-31,1
0.5,1796,17236,2020-04-01,1
0.5095238095238095,1607,7178,2020-04-02,1
0.5190476190476191,1455,8739,2020-04-03,1
0.5285714285714286,1343,12345,2020-04-04,1
0.5380952380952381,1172,2632,2020-04-05,1
0.5476190476190476,1003,1950,2020-04-06,1
0.5571428571428572,949,9433,2020-04-07,1
0.5666666666666667,852,3797,2020-04-08,1
0.5761904761904761,785,3457,2020-04-09,1
0.5857142857142856,696,2567,2020-04-10,1
0.5952380952380952,676,2458,2020-04-11,1
0.6047619047619047,627,1472,2020-04-12,1
0.6142857142857142,502,879,2020-04-13,1
0.6238095238095238,534,2454,2020-04-14,1
0.6333333333333333,483,2912,2020-04-15,1
0.6428571428571428,478,1912,2020-04-16,1
0.6523809523809523,421,1650,2020-04-17,1
0.6619047619047619,368,1698,2020-04-18,1
0.6714285714285714,367,802,2020-04-19,1
0.6809523809523809,335,477,2020-04-20,1
0.6904761904761905,320,941,2020-04-21,1
0.7,291,843,2020-04-22,1
0.7,289,707,2020-04-23,1
0.7,247,740,2020-04-24,1
0.7,240,1136,2020-04-25,1
0.7,256,536,2020-04-26,1
0.7,203,177,2020-04-27,1
0.7,234,856,2020-04-28,1
0.7,166,498,2020-04-29,1
0.7,154,352,2020-04-30,1
0.7,179,399,2020-05-01,1
0.7363636363636363,138,464,2020-05-02,1
0.7727272727272727,159,232,2020-05-03,1
0.8090909090909091,142,121,2020-05-04,1
0.8454545454545455,160,423,2020-05-05,1
0.8818181818181818,129,350,2020-05-06,1
0.9181818181818182,136,238,2020-05-07,1
