date,region,country,source,data_type,estimate_type,replicate,median_R_mean,median_R_highHPD,median_R_lowHPD,Re,infections,observations,in_CI,above_1,below_1,R1,init,epiestim,exp_name
2020-02-06,Simulated,Simulated,ETH,infection_Simulated,Cori_slidingWindow,0,1.8307099858104832,1.8859356678997952,1.7762938420231196,NA,NA,NA,NA,TRUE,FALSE,1.5,5000,TRUE,1.5_5000
2020-02-07,Simulated,Simulated,ETH,infection_Simulated,Cori_slidingWindow,0,1.743271153748789,1.7928513451206185,1.6943767454768461,NA,NA,NA,NA,TRUE,FALSE,1.5,5000,TRUE,1.5_5000
2020-02-08,Simulated,Simulated,ETH,infection_Simulated,Cori_slidingWindow,0,1.7162843190424213,1.7621759461274924,1.6709899598406808,NA,NA,NA,NA,TRUE,FALSE,1.5,5000,TRUE,1.5_5000
2020-02-09,Simulated,Simulated,ETH,infection_Simulated,Cori_slidingWindow,0,1.7043014644783943,1.7472575257925729,1.6618727732750527,NA,NA,NA,NA,TRUE,FALSE,1.5,5000,TRUE,1.5_5000
2020-02-10,Simulated,Simulated,ETH,infection_Simulated,Cori_slidingWindow,0,1.684335997036855,1.724548403901954,1.644591522972097,NA,NA,NA,NA,TRUE,FALSE,1.5,5000,TRUE,1.5_5000
2020-02-11,Simulated,Simulated,ETH,infection_Simulated,Cori_slidingWindow,0,1.6575298328635661,1.6951256824818604,1.620349856485319,NA,NA,NA,NA,TRUE,FALSE,1.5,5000,TRUE,1.5_5000
2020-02-12,Simulated,Simulated,ETH,infection_Simulated,Cori_slidingWindow,0,1.6410279575031563,1.6763211965532405,1.606105106192157,NA,NA,NA,NA,TRUE,FALSE,1.5,5000,TRUE,1.5_5000
2020-02-13,Simulated,Simulated,ETH,infection_Simulated,Cori_slidingWindow,0,1.64921093650342,1.68264498432447,1.6161078299599534,NA,NA,NA,NA,TRUE,FALSE,1.5,5000,TRUE,1.5_5000
2020-02-14,Simulated,Simulated,ETH,infection_Simulated,Cori_slidingWindow,0,1.6761853065451315,1.7080767184880195,1.6445903349276991,NA,NA,NA,NA,TRUE,FALSE,1.5,5000,TRUE,1.5_5000
2020-02-15,Simulated,Simulated,ETH,infection_Simulated,Cori_slidingWindow,0,1.6983410404786132,1.7287107098664343,1.6682368367266336,NA,NA,NA,NA,TRUE,FALSE,1.5,5000,TRUE,1.5_5000
2020-02-16,Simulated,Simulated,ETH,infection_Simulated,Cori_slidingWindow,0,1.6887265182402906,1.7173347295903896,1.6603553207927002,NA,NA,NA,NA,TRUE,FALSE,1.5,5000,TRUE,1.5_5000
2020-02-17,Simulated,Simulated,ETH,infection_Simulated,Cori_slidingWindow,0,1.6362691048686662,1.6628321481601653,1.609917022457675,NA,NA,NA,NA,TRUE,FALSE,1.5,5000,TRUE,1.5_5000
2020-02-18,Simulated,Simulated,ETH,infection_Simulated,Cori_slidingWindow,0,1.5566114945950538,1.5810566850514889,1.5323541577564237,NA,NA,NA,NA,TRUE,FALSE,1.5,5000,TRUE,1.5_5000
2020-02-19,Simulated,Simulated,ETH,infection_Simulated,Cori_slidingWindow,0,1.4807804733120629,1.5033435492002056,1.4583856716315406,NA,NA,NA,NA,TRUE,FALSE,1.5,5000,TRUE,1.5_5000
2020-02-20,Simulated,Simulated,ETH,infection_Simulated,Cori_slidingWindow,0,1.4339393897326362,1.455060311473594,1.412970772931703,NA,NA,NA,NA,TRUE,FALSE,1.5,5000,TRUE,1.5_5000
2020-02-21,Simulated,Simulated,ETH,infection_Simulated,Cori_slidingWindow,0,1.4213778180726244,1.4414934778424078,1.4014015703066969,NA,NA,NA,NA,TRUE,FALSE,1.5,5000,TRUE,1.5_5000
