date,median_R_mean,median_R_highHPD,median_R_lowHPD,est_infections,sd_infections,replicate,Re,infections,observations,in_CI,above_1,below_1,R1,init,exp_name
2020-02-06,1.6728318101609352,1.8643664638184492,1.4812971565034212,919.7046876020562,71.16417564796515,1,1,1073,293,FALSE,TRUE,FALSE,1,5000,1_5000
2020-02-07,1.5008287036082817,1.674984781947452,1.3266726252691114,983.3357723682404,78.34268078164274,1,1,1065,421,FALSE,TRUE,FALSE,1,5000,1_5000
2020-02-08,1.372680430080445,1.5370627008854678,1.208298159275422,1039.287749364483,85.05909125935437,1,1,1037,307,FALSE,TRUE,FALSE,1,5000,1_5000
2020-02-09,1.2819573950929821,1.4364292595673729,1.1274855306185914,1089.816612049417,89.2712778914602,1,1,1070,291,FALSE,TRUE,FALSE,1,5000,1_5000
2020-02-10,1.2224809200033446,1.3674378830746383,1.077523956932051,1131.6794051807844,94.68046029592938,1,1,1070,345,FALSE,TRUE,FALSE,1,5000,1_5000
2020-02-11,1.183347777070586,1.3218431839370905,1.0448523702040815,1164.6425757519287,101.28743184598851,1,1,1042,941,FALSE,TRUE,FALSE,1,5000,1_5000
2020-02-12,1.1548795415945696,1.2866628674035818,1.0230962157855574,1190.530421432322,104.5785746408848,1,1,1029,1012,FALSE,TRUE,FALSE,1,5000,1_5000
2020-02-13,1.1342658713996285,1.2553389563982094,1.0131927864010477,1209.452696244516,104.05883352482869,1,1,1091,1018,FALSE,TRUE,FALSE,1,5000,1_5000
2020-02-14,1.1222392488983737,1.2318017561317565,1.0126767416649909,1221.2650108625683,101.05020485165369,1,1,1040,876,FALSE,TRUE,FALSE,1,5000,1_5000
2020-02-15,1.116516079442809,1.219479830602441,1.013552328283177,1228.2702776342073,99.2596563424943,1,1,984,756,FALSE,TRUE,FALSE,1,5000,1_5000
2020-02-16,1.1131420267468433,1.2145582577589686,1.0117257957347179,1233.1389636847243,97.99139072226194,1,1,1049,922,FALSE,TRUE,FALSE,1,5000,1_5000
2020-02-17,1.1096860490709808,1.2120992152781664,1.0072728828637951,1236.104710530493,95.34930563326883,1,1,1088,630,FALSE,TRUE,FALSE,1,5000,1_5000
