Re,infections,observations,date,replicate
2.5,100,0,2020-02-02,1
2.5,1,0,2020-02-03,1
2.5,31,0,2020-02-04,1
2.5,61,0,2020-02-05,1
2.5,61,0,2020-02-06,1
2.5,72,0,2020-02-07,1
2.5,94,1,2020-02-08,1
2.5,135,2,2020-02-09,1
2.5,165,0,2020-02-10,1
2.5,194,1,2020-02-11,1
2.5,248,3,2020-02-12,1
2.5,295,14,2020-02-13,1
2.5,358,11,2020-02-14,1
2.5,485,8,2020-02-15,1
2.5,557,7,2020-02-16,1
2.5,647,12,2020-02-17,1
2.5,866,45,2020-02-18,1
2.5,1103,43,2020-02-19,1
2.5,1288,50,2020-02-20,1
2.5,1594,51,2020-02-21,1
2.435483870967742,1984,85,2020-02-22,1
2.370967741935484,2414,67,2020-02-23,1
2.306451612903226,2765,58,2020-02-24,1
2.241935483870968,3343,354,2020-02-25,1
2.1774193548387095,3943,197,2020-02-26,1
2.1129032258064515,4541,270,2020-02-27,1
2.0483870967741935,5476,416,2020-02-28,1
1.9838709677419355,6050,504,2020-02-29,1
1.9193548387096775,6878,277,2020-03-01,1
1.8548387096774195,7866,473,2020-03-02,1
1.7903225806451613,8849,988,2020-03-03,1
1.7258064516129032,9683,987,2020-03-04,1
1.6612903225806452,10585,1594,2020-03-05,1
1.596774193548387,11464,1380,2020-03-06,1
1.532258064516129,12645,1901,2020-03-07,1
1.467741935483871,13252,1194,2020-03-08,1
1.403225806451613,14033,1969,2020-03-09,1
1.338709677419355,14426,4563,2020-03-10,1
1.2741935483870968,15065,2224,2020-03-11,1
1.2096774193548387,15301,3372,2020-03-12,1
1.1451612903225807,15071,6019,2020-03-13,1
1.0806451612903225,14973,4220,2020-03-14,1
1.0161290322580645,14587,2601,2020-03-15,1
0.9516129032258065,13921,2696,2020-03-16,1
0.8870967741935485,13222,9021,2020-03-17,1
0.8225806451612905,12052,7579,2020-03-18,1
0.7580645161290323,10900,11313,2020-03-19,1
0.6935483870967742,9706,14237,2020-03-20,1
0.6290322580645162,8251,10731,2020-03-21,1
0.564516129032258,7075,6645,2020-03-22,1
0.5,5724,3413,2020-03-23,1
0.5,4976,8739,2020-03-24,1
0.5,4506,13027,2020-03-25,1
0.5,4054,12257,2020-03-26,1
0.5,3512,11706,2020-03-27,1
0.5,3023,17221,2020-03-28,1
0.5,2723,10619,2020-03-29,1
0.5,2354,6893,2020-03-30,1
0.5,2065,11096,2020-03-31,1
0.5,1796,11791,2020-04-01,1
0.5095238095238095,1607,13328,2020-04-02,1
0.5190476190476191,1455,15426,2020-04-03,1
0.5285714285714286,1343,11778,2020-04-04,1
0.5380952380952381,1172,5651,2020-04-05,1
0.5476190476190476,1003,4311,2020-04-06,1
0.5571428571428572,949,16266,2020-04-07,1
0.5666666666666667,852,10123,2020-04-08,1
0.5761904761904761,785,9757,2020-04-09,1
0.5857142857142856,696,5498,2020-04-10,1
0.5952380952380952,676,8144,2020-04-11,1
0.6047619047619047,627,4051,2020-04-12,1
0.6142857142857142,502,1953,2020-04-13,1
0.6238095238095238,534,7420,2020-04-14,1
0.6333333333333333,483,5924,2020-04-15,1
0.6428571428571428,478,6589,2020-04-16,1
0.6523809523809523,421,4123,2020-04-17,1
0.6619047619047619,368,2680,2020-04-18,1
0.6714285714285714,367,2242,2020-04-19,1
0.6809523809523809,335,918,2020-04-20,1
0.6904761904761905,320,2191,2020-04-21,1
0.7,291,1776,2020-04-22,1
0.7,289,2385,2020-04-23,1
0.7,247,2459,2020-04-24,1
0.7,240,2209,2020-04-25,1
0.7,256,1130,2020-04-26,1
0.7,203,543,2020-04-27,1
0.7,234,1430,2020-04-28,1
0.7,166,689,2020-04-29,1
0.7,154,839,2020-04-30,1
0.7,179,1178,2020-05-01,1
0.7363636363636363,138,1210,2020-05-02,1
0.7727272727272727,159,317,2020-05-03,1
0.8090909090909091,142,275,2020-05-04,1
0.8454545454545455,160,695,2020-05-05,1
0.8818181818181818,129,638,2020-05-06,1
0.9181818181818182,136,668,2020-05-07,1
