date,median_R_mean,median_R_highHPD,median_R_lowHPD,replicate,Re,infections,observations,in_CI,above_1,block_size,exp_name
2020-02-08,2.7571727535084243,3.1021457520420417,2.412199754974807,1,2.5,94,7,TRUE,TRUE,14,14
2020-02-09,2.6656108763969253,2.9668735178239074,2.364348234969943,1,2.5,135,9,TRUE,TRUE,14,14
2020-02-10,2.703530078520982,2.9937598135957133,2.4133003434462506,1,2.5,165,10,TRUE,TRUE,14,14
2020-02-11,2.8058626317088753,3.127045292676553,2.4846799707411975,1,2.5,194,69,TRUE,TRUE,14,14
2020-02-12,2.879765168262552,3.2340960311382156,2.525434305386888,1,2.5,248,35,FALSE,TRUE,14,14
2020-02-13,2.8771700018362174,3.2304631062638314,2.5238768974086034,1,2.5,295,68,FALSE,TRUE,14,14
2020-02-14,2.8122174031285723,3.145006828573914,2.4794279776832306,1,2.5,358,33,TRUE,TRUE,14,14
2020-02-15,2.717912802810636,3.0187914027105713,2.4170342029107004,1,2.5,485,60,TRUE,TRUE,14,14
2020-02-16,2.6139108576103633,2.8721528200207787,2.355668895199948,1,2.5,557,55,TRUE,TRUE,14,14
2020-02-17,2.507822025953129,2.73956513430257,2.2760789176036877,1,2.5,647,73,TRUE,TRUE,14,14
2020-02-18,2.4102952594775715,2.64136143461707,2.179229084338073,1,2.5,866,168,TRUE,TRUE,14,14
2020-02-19,2.3250923839843574,2.5612909047635974,2.0888938632051173,1,2.5,1103,168,TRUE,TRUE,14,14
2020-02-20,2.245472746832772,2.496992074715967,1.9939534189495771,1,2.5,1288,225,FALSE,TRUE,14,14
2020-02-21,2.1701501325339603,2.435263318085225,1.9050369469826955,1,2.5,1594,270,FALSE,TRUE,14,14
2020-02-22,2.1077891916908578,2.362301954372078,1.8532764290096375,1,2.435483870967742,1984,416,FALSE,TRUE,14,14
2020-02-23,2.066412199867639,2.298602065278182,1.8342223344570963,1,2.370967741935484,2414,340,FALSE,TRUE,14,14
2020-02-24,2.057616061774049,2.271408351187313,1.8438237723607844,1,2.306451612903226,2765,195,FALSE,TRUE,14,14
2020-02-25,2.082501938110015,2.280884209413076,1.8841196668069542,1,2.241935483870968,3343,681,TRUE,TRUE,14,14
2020-02-26,2.1257390655572457,2.3237142721162583,1.9277638589982329,1,2.1774193548387095,3943,868,TRUE,TRUE,14,14
2020-02-27,2.1439962025551282,2.355337387177781,1.9326550179324753,1,2.1129032258064515,4541,1583,TRUE,TRUE,14,14
2020-02-28,2.1089365931019066,2.3253075639460197,1.8925656222577938,1,2.0483870967741935,5476,1480,TRUE,TRUE,14,14
2020-02-29,2.0344490162891122,2.2499573887614277,1.8189406438167968,1,1.9838709677419355,6050,1950,TRUE,TRUE,14,14
2020-03-01,1.952995358601405,2.1687188523775767,1.7372718648252334,1,1.9193548387096775,6878,1115,TRUE,TRUE,14,14
2020-03-02,1.8805105864122993,2.0918144943437724,1.6692066784808262,1,1.8548387096774195,7866,548,TRUE,TRUE,14,14
2020-03-03,1.8136376585006662,2.016680045205977,1.6105952717953549,1,1.7903225806451613,8849,2693,TRUE,TRUE,14,14
2020-03-04,1.7424435029364607,1.9355360663175896,1.5493509395553318,1,1.7258064516129032,9683,2931,TRUE,TRUE,14,14
2020-03-05,1.6620033143848163,1.8380201899504227,1.4859864388192099,1,1.6612903225806452,10585,4151,TRUE,TRUE,14,14
2020-03-06,1.5721863079597789,1.7256715155491262,1.4187011003704315,1,1.596774193548387,11464,3667,TRUE,TRUE,14,14
2020-03-07,1.4766272693457514,1.6120251726629697,1.341229366028533,1,1.532258064516129,12645,5268,TRUE,TRUE,14,14
2020-03-08,1.3819133797626895,1.5069825821228342,1.2568441774025447,1,1.467741935483871,13252,2814,TRUE,TRUE,14,14
2020-03-09,1.29495585360291,1.4176898576312469,1.172221849574573,1,1.403225806451613,14033,2229,TRUE,TRUE,14,14
2020-03-10,1.221669788885006,1.351185441700288,1.0921541360697242,1,1.338709677419355,14426,9345,TRUE,TRUE,14,14
2020-03-11,1.162268550855147,1.3008282328251137,1.02370886888518,1,1.2741935483870968,15065,8022,TRUE,TRUE,14,14
2020-03-12,1.1115141348628892,1.2550945527087378,0.9679337170170407,1,1.2096774193548387,15301,15578,TRUE,TRUE,14,14
2020-03-13,1.0643433218030822,1.2088531725944003,0.9198334710117642,1,1.1451612903225807,15071,10999,TRUE,TRUE,14,14
2020-03-14,1.020319720590772,1.1617182996885926,0.8789211414929512,1,1.0806451612903225,14973,10943,TRUE,TRUE,14,14
2020-03-15,0.9810590386747421,1.1144172719173253,0.8477008054321589,1,1.0161290322580645,14587,4856,TRUE,FALSE,14,14
2020-03-16,0.9486198279842395,1.072069550533127,0.8251701054353519,1,0.9516129032258065,13921,6104,TRUE,FALSE,14,14
2020-03-17,0.9240695601729554,1.0396269940623921,0.8085121262835185,1,0.8870967741935485,13222,17613,TRUE,FALSE,14,14
2020-03-18,0.9081128332981045,1.0175423581512206,0.7986833084449885,1,0.8225806451612905,12052,14642,TRUE,FALSE,14,14
2020-03-19,0.8972023059420614,1.0023874102646173,0.7920172016195056,1,0.7580645161290323,10900,16195,FALSE,FALSE,14,14
2020-03-20,0.8846691376759517,0.988450887991607,0.7808873873602964,1,0.6935483870967742,9706,17006,FALSE,FALSE,14,14
2020-03-21,0.86559142273172,0.9693686825197265,0.7618141629437134,1,0.6290322580645162,8251,11507,FALSE,FALSE,14,14
2020-03-22,0.8384406521013538,0.9424594338314292,0.7344218703712784,1,0.564516129032258,7075,11563,FALSE,FALSE,14,14
2020-03-23,0.8042010816776954,0.9088918470854366,0.6995103162699543,1,0.5,5724,5347,FALSE,FALSE,14,14
2020-03-24,0.764473633005492,0.8677055316047202,0.6612417344062638,1,0.5,4976,12297,FALSE,FALSE,14,14
2020-03-25,0.723448181639291,0.8211772036625243,0.6257191596160577,1,0.5,4506,20097,FALSE,FALSE,14,14
