R1,init,t3,t2,weekly,gaussian,misdelay,delay_opt,t1,t4,t5,t6,R2,R3,smooth,timevar_est,timevar_sim,fixed,filename,estimationDir,simulationDir,infection_file,re_file,infection_exists,re_exists,infection_size,re_size,ReRMSE,RootDiff,EmpCoverage,OneTrans,slopeError,maxInc,t3diff
2.5,10,21,20,0.75,0.1,-2,confirmed,0,31,51,71,0.5,1.2,smooth,FALSE,FALSE,FALSE,t_20_21_R_2.5_init_10_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,../simulations/estimated/smooth/confirmed,../simulations/simulated/confirmed,/infection_t_20_21_R_2.5_init_10_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,/Re_t_20_21_R_2.5_init_10_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,TRUE,TRUE,270212,885331,0.2162184298650219,4,0.631578947368421,0.9375,0.6971808488390073,99,1
3,10,21,20,0.75,0.1,-2,confirmed,0,31,51,71,0.5,1.2,smooth,FALSE,FALSE,FALSE,t_20_21_R_3_init_10_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,../simulations/estimated/smooth/confirmed,../simulations/simulated/confirmed,/infection_t_20_21_R_3_init_10_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,/Re_t_20_21_R_3_init_10_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,TRUE,TRUE,271880,895776,0.24408932220472357,4,0.43859649122807015,0.8611111111111112,0.6880110187457023,268,1
3.5,10,21,20,0.75,0.1,-2,confirmed,0,31,51,71,0.5,1.2,smooth,FALSE,FALSE,FALSE,t_20_21_R_3.5_init_10_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,../simulations/estimated/smooth/confirmed,../simulations/simulated/confirmed,/infection_t_20_21_R_3.5_init_10_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,/Re_t_20_21_R_3.5_init_10_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,TRUE,TRUE,279023,916285,0.2544303533111137,4,0.3793103448275862,0.8627450980392157,0.6765199829624617,607,1
2.5,100,21,20,0.75,0.1,-2,confirmed,0,31,51,71,0.5,1.2,smooth,FALSE,FALSE,FALSE,t_20_21_R_2.5_init_100_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,../simulations/estimated/smooth/confirmed,../simulations/simulated/confirmed,/infection_t_20_21_R_2.5_init_100_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,/Re_t_20_21_R_2.5_init_100_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,TRUE,TRUE,281109,954079,0.21792085826249627,5,0.3333333333333333,0.8727272727272727,0.6881209037981538,1004,1
3,100,21,20,0.75,0.1,-2,confirmed,0,31,51,71,0.5,1.2,smooth,FALSE,FALSE,FALSE,t_20_21_R_3_init_100_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,../simulations/estimated/smooth/confirmed,../simulations/simulated/confirmed,/infection_t_20_21_R_3_init_100_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,/Re_t_20_21_R_3_init_100_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,TRUE,TRUE,284991,971255,0.22927297362272658,3,0.19672131147540983,0.8596491228070176,0.670413339946389,2618,1
3.5,100,21,20,0.75,0.1,-2,confirmed,0,31,51,71,0.5,1.2,smooth,FALSE,FALSE,FALSE,t_20_21_R_3.5_init_100_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,../simulations/estimated/smooth/confirmed,../simulations/simulated/confirmed,/infection_t_20_21_R_3.5_init_100_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,/Re_t_20_21_R_3.5_init_100_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,TRUE,TRUE,281814,956045,0.2406490113884995,4,0.13333333333333333,0.8596491228070176,0.6593470087288698,6051,1
2.5,1000,21,20,0.75,0.1,-2,confirmed,0,31,51,71,0.5,1.2,smooth,FALSE,FALSE,FALSE,t_20_21_R_2.5_init_1000_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,../simulations/estimated/smooth/confirmed,../simulations/simulated/confirmed,/infection_t_20_21_R_2.5_init_1000_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,/Re_t_20_21_R_2.5_init_1000_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,TRUE,TRUE,285842,972841,0.19186713327636287,4,0.16393442622950818,0.8666666666666667,0.64333853093785,10110,1
3,1000,21,20,0.75,0.1,-2,confirmed,0,31,51,71,0.5,1.2,smooth,FALSE,FALSE,FALSE,t_20_21_R_3_init_1000_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,../simulations/estimated/smooth/confirmed,../simulations/simulated/confirmed,/infection_t_20_21_R_3_init_1000_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,/Re_t_20_21_R_3_init_1000_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,TRUE,TRUE,287916,982455,0.21885481153064876,3,0.11290322580645161,0.8688524590163934,0.6457838650670763,26171,1
3.5,1000,21,20,0.75,0.1,-2,confirmed,0,31,51,71,0.5,1.2,smooth,FALSE,FALSE,FALSE,t_20_21_R_3.5_init_1000_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,../simulations/estimated/smooth/confirmed,../simulations/simulated/confirmed,/infection_t_20_21_R_3.5_init_1000_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,/Re_t_20_21_R_3.5_init_1000_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,TRUE,TRUE,288381,981951,0.21110782653146765,4,0.04838709677419355,0.8548387096774194,0.6405023857626415,60644,1
2.5,10,26,20,0.75,0.1,-2,confirmed,0,36,56,76,0.5,1.2,smooth,FALSE,FALSE,FALSE,t_20_26_R_2.5_init_10_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,../simulations/estimated/smooth/confirmed,../simulations/simulated/confirmed,/infection_t_20_26_R_2.5_init_10_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,/Re_t_20_26_R_2.5_init_10_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,TRUE,TRUE,299723,979652,0.1529658171698708,4,0.6349206349206349,0.926829268292683,0.47583406648121906,155,6
3,10,26,20,0.75,0.1,-2,confirmed,0,36,56,76,0.5,1.2,smooth,FALSE,FALSE,FALSE,t_20_26_R_3_init_10_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,../simulations/estimated/smooth/confirmed,../simulations/simulated/confirmed,/infection_t_20_26_R_3_init_10_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,/Re_t_20_26_R_3_init_10_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,TRUE,TRUE,288121,965650,0.17700724421586866,4,0.3770491803278688,0.8823529411764706,0.5060825647079343,474,6
3.5,10,26,20,0.75,0.1,-2,confirmed,0,36,56,76,0.5,1.2,smooth,FALSE,FALSE,FALSE,t_20_26_R_3.5_init_10_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,../simulations/estimated/smooth/confirmed,../simulations/simulated/confirmed,/infection_t_20_26_R_3.5_init_10_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,/Re_t_20_26_R_3.5_init_10_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,TRUE,TRUE,291192,975251,0.20202578100806814,4,0.3064516129032258,0.8545454545454545,0.513668004743638,1198,6
2.5,100,26,20,0.75,0.1,-2,confirmed,0,36,56,76,0.5,1.2,smooth,FALSE,FALSE,FALSE,t_20_26_R_2.5_init_100_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,../simulations/estimated/smooth/confirmed,../simulations/simulated/confirmed,/infection_t_20_26_R_2.5_init_100_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,/Re_t_20_26_R_2.5_init_100_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,TRUE,TRUE,304117,1043451,0.17744069624657013,4,0.30303030303030304,0.8852459016393442,0.5261146673882405,1574,6
3,100,26,20,0.75,0.1,-2,confirmed,0,36,56,76,0.5,1.2,smooth,FALSE,FALSE,FALSE,t_20_26_R_3_init_100_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,../simulations/estimated/smooth/confirmed,../simulations/simulated/confirmed,/infection_t_20_26_R_3_init_100_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,/Re_t_20_26_R_3_init_100_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,TRUE,TRUE,301793,1035505,0.1619546107892003,4,0.26153846153846155,0.8852459016393442,0.4887461142966063,4622,6
3.5,100,26,20,0.75,0.1,-2,confirmed,0,36,56,76,0.5,1.2,smooth,FALSE,FALSE,FALSE,t_20_26_R_3.5_init_100_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,../simulations/estimated/smooth/confirmed,../simulations/simulated/confirmed,/infection_t_20_26_R_3.5_init_100_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,/Re_t_20_26_R_3.5_init_100_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,TRUE,TRUE,305258,1047607,0.19729863990312418,4,0.12121212121212122,0.873015873015873,0.5384997954821589,11936,6
2.5,1000,26,20,0.75,0.1,-2,confirmed,0,36,56,76,0.5,1.2,smooth,FALSE,FALSE,FALSE,t_20_26_R_2.5_init_1000_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,../simulations/estimated/smooth/confirmed,../simulations/simulated/confirmed,/infection_t_20_26_R_2.5_init_1000_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,/Re_t_20_26_R_2.5_init_1000_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,TRUE,TRUE,306394,1052536,0.1804342683227269,4,0.13636363636363635,0.8769230769230769,0.543492083530236,15849,6
3,1000,26,20,0.75,0.1,-2,confirmed,0,36,56,76,0.5,1.2,smooth,FALSE,FALSE,FALSE,t_20_26_R_3_init_1000_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,../simulations/estimated/smooth/confirmed,../simulations/simulated/confirmed,/infection_t_20_26_R_3_init_1000_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,/Re_t_20_26_R_3_init_1000_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,TRUE,TRUE,309394,1063640,0.20359358893290874,4,0.1044776119402985,0.8636363636363636,0.5593867118531424,46205,6
3.5,1000,26,20,0.75,0.1,-2,confirmed,0,36,56,76,0.5,1.2,smooth,FALSE,FALSE,FALSE,t_20_26_R_3.5_init_1000_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,../simulations/estimated/smooth/confirmed,../simulations/simulated/confirmed,/infection_t_20_26_R_3.5_init_1000_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,/Re_t_20_26_R_3.5_init_1000_week_0.75_norm_0.1_timevar_FALSE_FALSE_fixed_FALSE_misdelay_-2.csv,TRUE,TRUE,306494,1052085,0.21939584539257648,5,0.015151515151515152,0.8636363636363636,0.5788215040880165,119655,6
