R1,init,t3,t2,weekly,gaussian,smooth,t1,t4,t5,t6,R2,R3,delay_opt,timevar_est,timevar_sim,fixed,misdelay,filename,estimationDir,simulationDir,infection_file,re_file,infection_exists,re_exists,infection_size,re_size,ReRMSE,RelError,RootDiff,EmpCoverage,CIWidth,OneTrans,DTWdist,frac_normal,overall_normal,slopeError,maxInc,t3diff
2.5,10,21,20,0.25,0,non_smooth,0,31,51,71,0.5,1.2,confirmed,FALSE,FALSE,FALSE,0,t_20_21_R_2.5_init_10_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/estimated/non_smooth/confirmed,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/simulated/confirmed,/infection_t_20_21_R_2.5_init_10_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Re_t_20_21_R_2.5_init_10_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,TRUE,TRUE,250677,838144,1.4742900152975624,-0.36142429260217634,-6,0.14545454545454545,0.4709809874852049,0.6530612244897959,0.6543934145435494,0.18867924528301888,FALSE,1.2360391829928448,142,1
3,10,21,20,0.25,0,non_smooth,0,31,51,71,0.5,1.2,confirmed,FALSE,FALSE,FALSE,0,t_20_21_R_3_init_10_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/estimated/non_smooth/confirmed,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/simulated/confirmed,/infection_t_20_21_R_3_init_10_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Re_t_20_21_R_3_init_10_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,TRUE,TRUE,255075,886267,2.1069027859533476,-0.3038994849922981,-10,0.034482758620689655,0.2918761635543812,0.5818181818181818,0.848850019011987,0.39285714285714285,FALSE,0.9468609014511827,387,1
3.5,10,21,20,0.25,0,non_smooth,0,31,51,71,0.5,1.2,confirmed,FALSE,FALSE,FALSE,0,t_20_21_R_3.5_init_10_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/estimated/non_smooth/confirmed,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/simulated/confirmed,/infection_t_20_21_R_3.5_init_10_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Re_t_20_21_R_3.5_init_10_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,TRUE,TRUE,253045,853255,1.2299763514040318,-0.26067221625698306,-5,0.01818181818181818,0.18649748062061944,0.660377358490566,0.6057048410089364,0.6666666666666666,FALSE,0.34754740122365163,865,1
2.5,100,21,20,0.25,0,non_smooth,0,31,51,71,0.5,1.2,confirmed,FALSE,FALSE,FALSE,0,t_20_21_R_2.5_init_100_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/estimated/non_smooth/confirmed,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/simulated/confirmed,/infection_t_20_21_R_2.5_init_100_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Re_t_20_21_R_2.5_init_100_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,TRUE,TRUE,264659,956428,1.7405362363075825,-0.3289781848126304,-13,0.05,0.1475394849052743,0.6379310344827587,0.7346699264667134,0.7166666666666667,FALSE,1.1736230555334404,1453,1
3,100,21,20,0.25,0,non_smooth,0,31,51,71,0.5,1.2,confirmed,FALSE,FALSE,FALSE,0,t_20_21_R_3_init_100_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/estimated/non_smooth/confirmed,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/simulated/confirmed,/infection_t_20_21_R_3_init_100_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Re_t_20_21_R_3_init_100_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,TRUE,TRUE,264187,950557,1.5389764261725396,-0.3054442373622401,-12,0.016666666666666666,0.10362258429861287,0.631578947368421,0.7240919509221888,0.8833333333333333,FALSE,1.121482674176554,3777,1
3.5,100,21,20,0.25,0,non_smooth,0,31,51,71,0.5,1.2,confirmed,FALSE,FALSE,FALSE,0,t_20_21_R_3.5_init_100_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/estimated/non_smooth/confirmed,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/simulated/confirmed,/infection_t_20_21_R_3.5_init_100_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Re_t_20_21_R_3.5_init_100_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,TRUE,TRUE,267155,948937,1.7287620961619803,-0.3338849265432263,-12,0,0.07335061399196596,0.639344262295082,0.90427832595205615,0.85,FALSE,0.8796418174317749,8622,1
2.5,1000,21,20,0.25,0,non_smooth,0,31,51,71,0.5,1.2,confirmed,FALSE,FALSE,FALSE,0,t_20_21_R_2.5_init_1000_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/estimated/non_smooth/confirmed,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/simulated/confirmed,/infection_t_20_21_R_2.5_init_1000_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Re_t_20_21_R_2.5_init_1000_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,TRUE,TRUE,268417,969130,1.4709600400900023,-0.3080809534732227,-12,0,0.047014858090319134,0.6333333333333333,0.6896340655553012,0.9344262295081968,FALSE,1.6206992183702946,14629,1
3,1000,21,20,0.25,0,non_smooth,0,31,51,71,0.5,1.2,confirmed,FALSE,FALSE,FALSE,0,t_20_21_R_3_init_1000_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/estimated/non_smooth/confirmed,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/simulated/confirmed,/infection_t_20_21_R_3_init_1000_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Re_t_20_21_R_3_init_1000_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,TRUE,TRUE,268318,973609,1.5712829303021723,-0.3138929867024928,-12,0,0.03283046518064023,0.6166666666666667,0.7815793160532861,0.8852459016393442,FALSE,1.2051572540980902,37766,1
3.5,1000,21,20,0.25,0,non_smooth,0,31,51,71,0.5,1.2,confirmed,FALSE,FALSE,FALSE,0,t_20_21_R_3.5_init_1000_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/estimated/non_smooth/confirmed,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/simulated/confirmed,/infection_t_20_21_R_3.5_init_1000_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Re_t_20_21_R_3.5_init_1000_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,TRUE,TRUE,268396,958272,1.6384562940047442,-0.30698685659274033,-12,0,0.02258259972939347,0.6229508196721312,0.8259226819665577,0.95,FALSE,0.9285866728259475,86411,1
2.5,10,26,20,0.25,0,non_smooth,0,36,56,76,0.5,1.2,confirmed,FALSE,FALSE,FALSE,0,t_20_26_R_2.5_init_10_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/estimated/non_smooth/confirmed,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/simulated/confirmed,/infection_t_20_26_R_2.5_init_10_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Re_t_20_26_R_2.5_init_10_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,TRUE,TRUE,271941,928313,1.507262124465138,-0.2852018018852641,-15,0.09836065573770492,0.3133196741342883,0.6111111111111112,0.668409917728018,0.3220338983050847,FALSE,-1.6298002616398053,172,6
3,10,26,20,0.25,0,non_smooth,0,36,56,76,0.5,1.2,confirmed,FALSE,FALSE,FALSE,0,t_20_26_R_3_init_10_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/estimated/non_smooth/confirmed,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/simulated/confirmed,/infection_t_20_26_R_3_init_10_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Re_t_20_26_R_3_init_10_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,TRUE,TRUE,272582,924168,1.63044726709329,-0.32655255460275395,-14,0.03333333333333333,0.19440834174351052,0.5614035087719298,0.7485357351576822,0.5423728813559322,FALSE,-1.2372843450151045,525,6
3.5,10,26,20,0.25,0,non_smooth,0,36,56,76,0.5,1.2,confirmed,FALSE,FALSE,FALSE,0,t_20_26_R_3.5_init_10_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/estimated/non_smooth/confirmed,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/simulated/confirmed,/infection_t_20_26_R_3.5_init_10_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Re_t_20_26_R_3.5_init_10_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,TRUE,TRUE,275122,937228,1.466253780445762,-0.3245315317566086,-9,0.015873015873015872,0.15476345552249537,0.5806451612903226,0.8034928766302255,0.7833333333333333,FALSE,-1.1879536192204108,1320,6
2.5,100,26,20,0.25,0,non_smooth,0,36,56,76,0.5,1.2,confirmed,FALSE,FALSE,FALSE,0,t_20_26_R_2.5_init_100_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/estimated/non_smooth/confirmed,/Users/jana/Documents/PhD/covid/Re_project/paper_sim/simulated/confirmed,/infection_t_20_26_R_2.5_init_100_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,/Re_t_20_26_R_2.5_init_100_week_0.25_norm_0_timevar_FALSE_FALSE_fixed_FALSE_misdelay_0.csv,TRUE,TRUE,283722,1018030,1.8501513462192178,-0.4149981799992238,-16,0,0.11960668896463406,0.5873015873015873,0.8657820773092044,0.78125,FALSE,-1.8176460928485672,1754,6
