date,median_R_mean,median_R_highHPD,median_R_lowHPD,replicate,Re,infections,observations,in_CI,above_1,smooth_day,exp_name
2020-02-08,2.7571727535084243,3.132474197642174,2.3818713093746746,1,2.5,94,7,TRUE,TRUE,21,21
2020-02-09,2.6656108763969253,2.9934743962598698,2.337747356533981,1,2.5,135,9,TRUE,TRUE,21,21
2020-02-10,2.703530078520982,3.0235310270648523,2.3835291299771115,1,2.5,165,10,TRUE,TRUE,21,21
2020-02-11,2.8058626317088753,3.1502684380318406,2.46145682538591,1,2.5,194,69,TRUE,TRUE,21,21
2020-02-12,2.879765168262552,3.2430645334342008,2.516465803090903,1,2.5,248,35,FALSE,TRUE,21,21
2020-02-13,2.8771700018362174,3.223926302068956,2.5304137016034787,1,2.5,295,68,FALSE,TRUE,21,21
2020-02-14,2.8122174031285723,3.126757149788523,2.4976776564686216,1,2.5,358,33,TRUE,TRUE,21,21
2020-02-15,2.717912802810636,3.0027426141067024,2.4330829915145693,1,2.5,485,60,TRUE,TRUE,21,21
2020-02-16,2.6139108576103633,2.878706409501003,2.3491153057197236,1,2.5,557,55,TRUE,TRUE,21,21
2020-02-17,2.507822025953129,2.780611833206188,2.23503221870007,1,2.5,647,73,TRUE,TRUE,21,21
2020-02-18,2.4102952594775715,2.7020566408832867,2.1185338780718563,1,2.5,866,168,TRUE,TRUE,21,21
2020-02-19,2.3250923839843574,2.6198346524536036,2.030350115515111,1,2.5,1103,168,TRUE,TRUE,21,21
2020-02-20,2.245472746832772,2.5388168669618225,1.9521286267037212,1,2.5,1288,225,TRUE,TRUE,21,21
2020-02-21,2.1701501325339603,2.4591181478533994,1.881182117214521,1,2.5,1594,270,FALSE,TRUE,21,21
2020-02-22,2.1077891916908578,2.3804060471015878,1.835172336280128,1,2.435483870967742,1984,416,FALSE,TRUE,21,21
2020-02-23,2.066412199867639,2.3276466204710693,1.8051777792642087,1,2.370967741935484,2414,340,FALSE,TRUE,21,21
2020-02-24,2.057616061774049,2.315774918832725,1.7994572047153727,1,2.306451612903226,2765,195,TRUE,TRUE,21,21
2020-02-25,2.082501938110015,2.3273769394494734,1.8376269367705569,1,2.241935483870968,3343,681,TRUE,TRUE,21,21
2020-02-26,2.1257390655572457,2.354392215632122,1.8970859154823692,1,2.1774193548387095,3943,868,TRUE,TRUE,21,21
2020-02-27,2.1439962025551282,2.3643805957075577,1.9236118094026986,1,2.1129032258064515,4541,1583,TRUE,TRUE,21,21
